fecha_scrape,fuente,fecha_publicacion,empresa,titulo_puesto,categoria,encaja_perfil,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-06-26,Tecnoempleo,25/06/2026,Grupo Digital,Desarrollador/a Salesforce (Hibrido),WEB,Si,Madrid,hibrido,,,1-2 años,salesforce,Medio/B2,https://www.tecnoempleo.com/desarrollador-salesforce-hibrido-grupo-digital/salesforce/rf-a0d119ba52fa637ab94a
2026-06-26,Tecnoempleo,24/06/2026,Michael Page,Traductor/a funcional ERP,WEB,Quizas,Cantabria,,,,Sin experiencia,ERP,Alto/C1,https://www.tecnoempleo.com/traductor-funcional-erp-michael-page/erp/rf-c91c15cdb229e3af214c
2026-06-26,Tecnoempleo,23/06/2026,Page Personnel,Testing Engineer montaje de SETUPS,WEB,Si,Barcelona,,,,Sin experiencia,"Python, testing, electronica",Medio/B2,https://www.tecnoempleo.com/testing-engineer-montaje-setups-page-personnel/python-electronica/rf-cb0e1c1392f6b344ba45
2026-06-26,Tecnoempleo,23/06/2026,Airbus,CORE DIGITAL CAMPUS Full-Stack Developer,WEB,Quizas,Albacete,,,,,"Angular, Node, Bootstrap",Medio/B2,https://www.tecnoempleo.com/core-digital-campus-full-stack-developer-airbus/angular-node/rf-13291052c29e5332654c
2026-06-26,Tecnoempleo,19/02/2026,Quental,Ingeniero/a de datos Python-Pyspark,WEB,Si,100% remoto,remoto,21000.0,27000.0,1-2 años,"python, pyspark",Medio/B2,https://www.tecnoempleo.com/ingeniero-datos-python-pyspark-quental/python/rf-58b31f5382769324b444
2026-06-26,Tecnoempleo,22/09/2022,The Adecco Group,Padawan del switching y routing,WEB,Quizas,Álava,,18000.0,18000.0,Sin experiencia,"switch, routiing, DNS",Medio/B2,https://www.tecnoempleo.com/padawan-del-switching-routing-lava/switch-routiing-dns-dhcp/rf-246569fa68121hc492k4
2026-06-26,Tecnoempleo,07/11/2018,Indra Sistemas,Desarrollo de  Software,WEB,Si,Madrid,,,,Sin experiencia,"JAVA, C++, HTML",Medio/B2,https://www.tecnoempleo.com/desarrollo-software-madrid/java-c-html/rf-5e7ab8faf4140wc532re
2026-06-26,Tecnoempleo,16/06/2026,Sopra Steria,Desarrollador/a Apigee,WEB,Quizas,Madrid,,,,2 años,"Apigee, RESTful",Alto/C1,https://www.tecnoempleo.com/desarrollador-apigee-sopra-steria/restful/rf-6b971c78320373cf7c45
2026-06-26,Tecnoempleo,15/06/2026,Sopra Steria,Data Engineer (Francés),WEB,Quizas,Madrid,hibrido,,,2 años,"scala, spark",Alto/C1,https://www.tecnoempleo.com/data-engineer-frances-sopra-steria/scala-spark/rf-d40e1373924f3318544c
2026-06-26,Tecnoempleo,15/06/2026,Sopra Steria,Desarrollador Java + WSO2,WEB,Quizas,Madrid,,,,2 años,"java, WSO2, MuleSoft",Medio/B2,https://www.tecnoempleo.com/desarrollador-java-wso2-sopra-steria/mulesoft-apigee/rf-3a6113aa92e4b35bef4a
2026-06-26,Tecnoempleo,17/04/2026,Sopra Steria,Analista Funcional Java/Oracle,WEB,Quizas,Madrid,,,,2-3 años,"Java, Oracle, DB2",Medio/B2,https://www.tecnoempleo.com/analista-funcional-java-oracle-sopra-steria/db2-mongodb/rf-6ddd141862f523bbd741
2026-06-30,Tecnoempleo,29/06/2026,Digital Talent Agency,Backend engineer NodeJS Proyecto Internacional,IA,Quizas,Barcelona,hibrido,,,2 años,"nodejs, aws, apis restful",Medio/B2,https://www.tecnoempleo.com/backend-engineer-nodejs-proyecto-internacional-dig/aws-apis-restful/rf-60491de5b2eb83a1fc4d
2026-06-30,Tecnoempleo,29/06/2026,Serem,Azure Developer - Full Stack,IA,Si,Barcelona,hibrido,,,1-3 años,"Azure, Azure Functions, LLM",Alto/C1,https://www.tecnoempleo.com/azure-developer-full-stack-serem/azure-functions-llm/rf-f6aa19cb92804334394f
2026-06-30,Tecnoempleo,29/06/2026,CAS TRAINING,Consultor/a EasyVista | PHP Developer & BI Analyst,WEB,Quizas,Barcelona,,33000,39000,2 años,"EASYVISTA, POWERBI",Medio/B2,https://www.tecnoempleo.com/consultor-easyvista-php-developer-bi-analyst-cas-t/powerbi-sql/rf-1a1a123ca239e3ce7347
2026-06-30,Tecnoempleo,29/06/2026,Michael Page,Ingeniero/a de Diseño Mecánico,WEB,Quizas,Murcia,,33000,42000,Sin experiencia,"AutoCAD, SolidWorks",Medio/B2,https://www.tecnoempleo.com/ingeniero-diseno-mecanico-michael-page/autocad-solidworks/rf-beba1187224953fdd04c
