fecha_scrape,fecha_publicacion,empresa,titulo_puesto,categoria,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-09-02,2026-08-30,Think Huge,Full Stack Developer - Hosting Industry,WEB,"Vitoria-Gasteiz, Álava",remoto,,,,"javascript, python",no especificado,https://www.adzuna.es/details/5861530413?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-31,Think Huge,Full Stack Developer - Hosting Industry,WEB,Málaga,remoto,,,,"javascript, python, docker",no especificado,https://www.adzuna.es/details/5862523330?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-09-01,Think Huge,Full Stack Developer - Hosting Industry,WEB,"Arbo, Pontevedra",remoto,,,,"javascript, python, docker",no especificado,https://www.adzuna.es/details/5863216601?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-09-01,Think Huge,Full Stack Developer - Hosting Industry,WEB,Valencia,remoto,,,,"javascript, python, docker",no especificado,https://www.adzuna.es/details/5863216482?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-04-14,Napptilus Tech Labs,FrontEnd Developer,WEB,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5699405415?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-18,Kelea,Frontend Developer,WEB,España,remoto,,,,no especificado,no especificado,https://www.adzuna.es/details/5805885147?utm_medium=api&utm_source=4332c1fe
2026-09-02,2024-10-06,SlashMobility,Frontend Developer,WEB,"Madrid, Comunidad de Madrid",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/4891161961?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-06-18,dentsu,Frontend Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5767308942?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-25,Initiumsoft,Senior Frontend Developer,WEB,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5855070417?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-13,Vortech PCI Group,Sr. Frontend Developer,WEB,"Valencia, Comunidad Valenciana",no especificado,60000.0,90000.0,,react,no especificado,https://www.adzuna.es/details/5840011266?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-06,Utimaco Iberia SLU,Senior Frontend Developer,WEB,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5830173189?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-06-22,Winning,SR Frontend Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5772349942?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-31,Inneva Pharma,Frontend Developer (React),WEB,Madrid,no especificado,,,,react,no especificado,https://www.adzuna.es/details/5862523853?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-09-01,Inneva Pharma,Frontend Developer (React),WEB,"Móstoles, Madrid",no especificado,,,,react,no especificado,https://www.adzuna.es/details/5863216653?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-09-02,Inneva Pharma,Frontend Developer (React),WEB,Madrid,no especificado,,,,react,no especificado,https://www.adzuna.es/details/5865451589?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-31,Inneva Pharma,Frontend Developer (React),WEB,"Móstoles, Madrid",no especificado,,,,react,no especificado,https://www.adzuna.es/details/5862523910?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-09-01,Inneva Pharma,Frontend Developer (React),WEB,Madrid,no especificado,,,,react,no especificado,https://www.adzuna.es/details/5863216420?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-06-20,Izertis,Frontend Developer (React),WEB,España,hibrido,,,,react,no especificado,https://www.adzuna.es/details/5770310276?utm_medium=api&utm_source=4332c1fe
2026-09-02,2024-07-30,Henneo,Frontend Developer - Angular,WEB,"Zaragoza, Aragón",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/4800598659?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-22,Indra,Senior Frontend Developer,WEB,España,hibrido,,,,no especificado,no especificado,https://www.adzuna.es/details/5852204750?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-04,Dative,Frontend Developer - React 19,WEB,"Barakaldo, Vizcaya",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5827731659?utm_medium=api&utm_source=4332c1fe
2026-09-02,2025-12-05,INNOCV Solutions S.L.U.,Frontend Developer (React/Angular),WEB,Madrid,no especificado,,,,no especificado,nativo,https://www.adzuna.es/details/5529399496?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-25,IRIUM - Spain,SENIOR FRONTEND DEVELOPER (PRESENCIAL VALENCIA),WEB,Valencia,no especificado,,,,"react, typescript, react, typescript, javascript",no especificado,https://www.adzuna.es/details/5855782614?utm_medium=api&utm_source=4332c1fe
